Transaction ID,Car ID,Customer ID,Rental Start Date,Rental End Date,Rental Duration (hours),Car Type,Rental Price ($),Payment Method
1,18,1213,2023-07-19 02:21:31,2023-07-20 16:59:13,14,Sedan,210,Credit Card
2,308,277,2023-02-05 09:32:16,2023-02-10 01:27:24,15,SUV,300,Debit Card
3,535,1213,2023-03-03 15:30:17,2023-03-05 11:41:19,20,Convertible,600,Cash
4,260,3871,2023-02-24 22:31:14,2023-02-26 17:07:03,18,Truck,450,Debit Card
5,472,1351,2023-05-12 04:13:45,2023-05-18 02:08:10,21,SUV,420,Cash
6,340,1204,2023-07-30 06:04:54,2023-07-30 23:17:33,17,Truck,425,Cash
7,588,2034,2023-06-08 19:57:49,2023-06-11 01:39:06,5,SUV,100,Debit Card
8,550,4787,2023-07-11 13:41:39,2023-07-17 10:35:22,20,Sedan,300,Debit Card
9,68,4669,2023-11-15 13:38:08,2023-11-21 18:40:59,5,Truck,125,Credit Card
10,969,4898,2023-08-27 11:05:38,2023-09-01 05:29:28,18,Truck,450,Debit Card
11,744,4544,2023-01-05 19:27:48,2023-01-09 09:20:30,13,Sedan,195,Mobile Payment
12,531,2095,2023-04-17 15:04:29,2023-04-22 15:06:55,0,SUV,0,Credit Card
13,140,2314,2023-04-06 23:11:20,2023-04-07 23:37:10,0,Convertible,0,Mobile Payment
14,706,4041,2023-02-10 07:37:40,2023-02-14 03:47:54,20,Sedan,300,Debit Card
15,47,4651,2023-01-19 03:26:50,2023-01-20 00:07:59,20,Sedan,300,Cash
16,953,4177,2023-08-07 04:40:46,2023-08-13 10:22:45,5,Truck,125,Mobile Payment
17,979,2097,2023-11-17 03:29:24,2023-11-20 20:47:52,17,Convertible,510,Cash
18,694,271,2023-01-05 16:18:24,2023-01-10 18:36:31,2,SUV,40,Debit Card
19,135,247,2023-04-03 08:03:27,2023-04-04 01:12:57,17,Convertible,510,Debit Card
20,174,3484,2023-12-05 02:47:06,2023-12-10 16:45:33,13,Truck,325,Debit Card
21,221,1760,2023-08-26 18:48:58,2023-08-31 22:37:43,3,Truck,75,Mobile Payment
22,418,1631,2023-05-17 01:43:35,2023-05-23 21:53:41,20,Sedan,300,Cash
23,27,3405,2023-02-07 19:50:40,2023-02-10 12:22:10,16,SUV,320,Credit Card
24,593,2475,2023-12-11 11:27:52,2023-12-15 20:52:26,9,Truck,225,Cash
25,74,3758,2023-03-04 20:16:11,2023-03-06 23:34:47,3,Convertible,90,Debit Card
26,171,314,2023-02-23 10:02:14,2023-02-28 21:12:32,11,Sedan,165,Credit Card
27,332,4389,2023-06-28 15:32:35,2023-07-04 01:57:43,10,Truck,250,Mobile Payment
